Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Antonio Adán,ESP,GK,Sporting CP,35,1987,6,6,570,6.3,6,0.95,22,17,72.7,1,4,1,1,16.7,0,0,0,0,
Doğan Alemdar,TUR,GK,Rennes,19,2002,2,1,129,1.4,3,2.09,6,3,50.0,0,1,0,0,0.0,0,0,0,0,
Noah Atubolu,GER,GK,Freiburg,20,2002,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Altay Bayındır,TUR,GK,Fenerbahçe,24,1998,8,8,720,8.0,9,1.13,22,13,63.6,5,2,1,3,37.5,1,1,0,0,0.0
Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,7,7,630,7.0,6,0.86,29,23,79.3,4,1,2,3,42.9,0,0,0,0,
Justin Bijlow,NED,GK,Feyenoord,24,1998,8,8,750,8.3,13,1.56,42,29,69.0,3,2,3,3,37.5,1,0,0,1,
Milan Borjan,CAN,GK,Red Star,34,1987,6,6,540,6.0,11,1.83,29,19,65.5,2,0,4,0,0.0,1,1,0,0,0.0
Yassine Bounou,MAR,GK,Sevilla,31,1991,6,6,600,6.7,5,0.75,24,19,79.2,3,3,0,2,33.3,0,0,0,0,
Denys Boyko,UKR,GK,Dynamo Kyiv,34,1988,2,2,180,2.0,3,1.50,10,7,70.0,0,0,2,0,0.0,0,0,0,0,
Claudio Bravo,CHI,GK,Betis,39,1983,6,6,540,6.0,8,1.33,32,24,78.1,4,1,1,2,33.3,1,1,0,0,0.0
Yanick Brecher,SUI,GK,Zürich,29,1993,6,6,540,6.0,16,2.67,34,19,52.9,1,0,5,0,0.0,0,0,0,0,
Heorhiy Bushchan,UKR,GK,Dynamo Kyiv,28,1994,2,2,180,2.0,4,2.00,10,6,60.0,0,0,2,0,0.0,0,0,0,0,
Uğurcan Çakır,TUR,GK,Trabzonspor,26,1996,5,5,450,5.0,6,1.20,19,13,73.7,3,0,2,2,40.0,1,1,0,0,0.0
Dumitru Celeadnic,MDA,GK,Sheriff Tiraspol,30,1992,1,1,90,1.0,3,3.00,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
Johan Dahlin,SWE,GK,Malmö,35,1986,2,2,180,2.0,5,2.50,18,13,72.2,0,0,2,0,0.0,0,0,0,0,
Ismael Diawara,MLI,GK,Malmö,27,1994,4,4,360,4.0,6,1.50,26,20,84.6,0,0,4,0,0.0,2,2,0,0,0.0
Dénes Dibusz,HUN,GK,Ferencváros,31,1990,8,8,720,8.0,13,1.62,43,30,72.1,3,1,4,1,12.5,1,1,0,0,0.0
Marko Dmitrović,SRB,GK,Sevilla,30,1992,3,3,270,3.0,3,1.00,13,10,84.6,1,0,2,1,33.3,1,1,0,0,0.0
Joel Drommel,NED,GK,PSV Eindhoven,25,1996,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
Fabiano,BRA,GK,AC Omonia,34,1988,3,3,225,2.5,6,2.40,14,8,57.1,0,0,3,0,0.0,0,0,0,0,
Mark Flekken,NED,GK,Freiburg,29,1993,7,7,630,7.0,5,0.71,29,24,86.2,4,1,2,3,42.9,1,1,0,0,0.0
David de Gea,ESP,GK,Manchester Utd,31,1990,12,12,"1,080",12.0,12,1.00,38,28,73.7,8,2,2,5,41.7,2,2,0,0,0.0
Lennart Grill,GER,GK,Union Berlin,23,1999,1,0,45,0.5,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Nikita Haikin,RUS,GK,Bodø/Glimt,27,1995,6,6,540,6.0,10,1.67,31,22,67.7,1,1,4,0,0.0,0,0,0,0,
Conor Hazard,NIR,GK,HJK,24,1998,6,6,540,6.0,13,2.17,40,28,70.0,0,1,5,0,0.0,1,1,0,0,0.0
Lukáš Hrádecký,FIN,GK,Leverkusen,32,1989,8,8,750,8.3,8,0.96,23,16,69.6,4,2,2,3,37.5,1,1,0,0,0.0
Philipp Köhn,SUI,GK,RB Salzburg,24,1998,2,2,180,2.0,2,1.00,9,7,77.8,1,0,1,1,50.0,0,0,0,0,
Maksym Koval,UKR,GK,Sheriff Tiraspol,29,1992,5,5,450,5.0,7,1.40,22,15,72.7,2,0,3,2,40.0,1,1,0,0,0.0
Alban Lafont,FRA,GK,Nantes,23,1999,8,8,720,8.0,15,1.87,50,36,74.0,3,1,4,1,12.5,2,2,0,0,0.0
Jonas Lössl,DEN,GK,Midtjylland,33,1989,8,8,720,8.0,13,1.62,36,23,66.7,2,3,3,1,12.5,2,1,1,0,50.0
Shakhruddin Magomedaliyev,AZE,GK,Qarabağ,28,1994,6,6,540,6.0,5,0.83,26,21,88.5,2,2,2,3,50.0,2,2,0,0,0.0
Steve Mandanda,FRA,GK,Rennes,37,1985,7,7,621,6.9,8,1.16,16,9,62.5,4,2,1,1,14.3,2,2,0,0,0.0
Matheus,BRA,GK,Braga,30,1992,6,6,540,6.0,7,1.17,23,16,73.9,3,1,2,2,33.3,1,1,0,0,0.0
Anthony Moris,LUX,GK,Union SG,32,1990,10,10,900,10.0,15,1.50,43,27,65.1,5,3,2,3,30.0,1,0,1,0,100.0
Ruslan Neshcheret,UKR,GK,Dynamo Kyiv,20,2002,2,2,180,2.0,4,2.00,7,3,42.9,0,1,1,0,0.0,0,0,0,0,
Alexander Nübel,GER,GK,Monaco,25,1996,8,8,750,8.3,13,1.56,40,28,70.0,4,1,3,1,12.5,1,1,0,0,0.0
Sergio Padt,NED,GK,Ludogorets,32,1990,6,6,540,6.0,9,1.50,31,22,77.4,2,1,3,1,16.7,2,2,0,0,0.0
Alexandros Paschalakis,GRE,GK,Olympiacos,33,1989,2,2,180,2.0,1,0.50,8,7,87.5,0,2,0,1,50.0,0,0,0,0,
Rui Patrício,POR,GK,Roma,34,1988,14,14,"1,320",14.7,9,0.61,42,34,78.6,7,4,3,6,42.9,0,0,0,0,
