Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Nicolás Acevedo,URU,MF,Bahia,23,1999,31,"1,970",64,57.6,21.9,21,84,16,10,20,3,1.16,20,28,-8,-0.37,-0.68,26.8,29.9,-3.1,-0.14,-0.29
Luiz Adriano,BRA,FW,Internacional,35,1987,29,"1,330",46,38.9,14.8,17,68,3,12,15,6,1.28,11,20,-9,-0.61,-1.04,13.3,18.8,-5.5,-0.37,-0.40
Adriel,BRA,GK,Bahia,22,2001,0,,,,,0,,0,0,,14,,,,,,,,,,,
Adriel,BRA,GK,Grêmio,22,2001,2,180,90,5.3,2.0,2,90,2,0,,6,3.00,3,1,+2,+1.00,+0.86,2.4,2.5,-0.2,-0.08,+0.05
Adryelson,BRA,DF,Botafogo (RJ),24,1998,35,"2,996",86,87.6,33.3,35,86,29,0,,0,1.74,51,29,+22,+0.66,+0.87,46.5,43.4,+3.1,+0.09,+0.53
Adson,BRA,"FW,MF",Corinthians,22,2000,15,857,57,25.1,9.5,9,73,1,6,33,2,1.53,10,9,+1,+0.11,+0.18,10.3,11.0,-0.7,-0.08,+0.22
Adyson,BRA,"FW,MF",América (MG),17,2005,8,245,31,7.2,2.7,1,90,1,7,22,6,0.38,0,7,-7,-2.57,-1.66,2.7,5.3,-2.6,-0.96,-0.57
Agner,BRA,FW,Fluminense,17,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Washington Aguerre,URU,GK,América (MG),29,1993,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.56,2.4,2.7,-0.3,-0.16,+0.28
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,15,296,20,8.7,3.3,1,64,0,14,17,11,1.07,7,10,-3,-0.91,-1.60,5.4,6.9,-1.5,-0.44,-0.52
Yuri Alberto,BRA,FW,Corinthians,21,2001,34,"2,722",80,79.6,30.2,32,83,17,2,28,1,1.35,41,36,+5,+0.17,+0.94,33.2,37.5,-4.4,-0.14,+0.48
Ale,BRA,MF,América (MG),32,1990,27,"1,424",53,41.6,15.8,14,80,7,13,23,7,0.59,14,34,-20,-1.26,-0.41,20.1,29.6,-9.4,-0.60,-0.29
Alexandre Alemão,BRA,FW,Internacional,24,1998,9,340,38,9.9,3.8,3,66,1,6,24,3,1.56,3,3,0,0.00,-0.03,4.3,5.1,-0.9,-0.23,-0.11
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,14,405,29,11.8,4.5,2,64,0,12,23,10,1.43,6,2,+4,+0.89,+0.59,8.7,3.8,+4.8,+1.07,+0.77
Alesson,BRA,"FW,MF",Goiás,23,1999,23,655,28,19.2,7.3,3,59,0,20,24,12,0.61,9,14,-5,-0.69,-0.30,7.9,11.6,-3.7,-0.50,-0.32
Alex,BRA,DF,Santos,23,1999,6,455,76,13.3,5.1,5,90,5,1,5,6,0.83,3,8,-5,-0.99,-0.38,4.7,6.2,-1.5,-0.29,-0.07
Caio Alexandre,BRA,MF,Fortaleza,23,1999,34,"2,624",77,76.7,29.2,32,81,15,2,21,3,1.47,38,31,+7,+0.24,+0.92,40.3,32.8,+7.5,+0.26,+0.23
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,35,"2,980",85,87.1,33.1,33,89,31,2,17,2,1.43,37,30,+7,+0.21,+1.44,33.9,33.7,+0.2,+0.01,+0.74
Alexsander,BRA,"MF,DF",Fluminense,19,2003,19,"1,194",63,34.9,13.3,13,75,6,6,38,4,1.32,12,16,-4,-0.30,-0.62,14.3,17.9,-3.5,-0.27,-0.46
Alison,BRA,MF,Santos,29,1993,5,136,27,4.0,1.5,2,51,0,3,11,5,2.20,1,1,0,0.00,+0.69,1.5,2.7,-1.2,-0.79,-0.58
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,5,49,10,1.4,0.5,0,,0,5,10,18,0.20,0,1,-1,-1.84,-2.40,0.6,0.4,+0.2,+0.36,+0.22
Alisson,BRA,"MF,FW",São Paulo,29,1993,35,"2,153",62,63.0,23.9,26,75,7,9,23,2,1.49,25,19,+6,+0.25,+0.53,29.9,20.5,+9.4,+0.39,+0.16
Allan,BRA,MF,Flamengo,25,1997,9,482,54,14.1,5.4,4,87,3,5,27,2,1.11,6,7,-1,-0.19,-0.65,7.8,6.6,+1.2,+0.22,+0.09
Allano,BRA,FW,Goiás,27,1995,19,"1,237",65,36.2,13.7,15,75,3,4,28,0,1.26,10,14,-4,-0.29,+0.24,11.6,13.8,-2.3,-0.16,+0.12
