Player,Nation,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,1482,38,351,945,202,16,1482,32,14,43.8,13,40.6,896,4239,2242,30,26,5,25,18,998,38
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,362,20,44,178,144,47,362,7,3,42.9,4,57.1,180,526,126,3,3,1,18,16,250,49
Adriel,BRA,GK,Grêmio,22,2001,2.0,65,54,65,0,0,0,65,0,0,,0,,23,141,109,0,0,0,0,0,10,0
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,1896,292,989,878,35,28,1896,0,0,,0,,980,4178,2299,2,3,1,3,1,1141,3
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,502,7,79,236,198,22,502,45,25,55.6,14,31.1,337,2592,1465,49,33,7,17,5,357,68
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,176,0,12,61,107,10,176,13,7,53.8,4,30.8,123,898,560,17,14,5,6,9,127,42
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,45,40,45,0,0,0,45,0,0,,0,,17,110,85,0,0,0,0,0,6,0
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,127,4,19,46,66,16,127,17,8,47.1,7,41.2,83,626,302,10,7,2,9,5,83,29
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,913,23,64,420,437,138,913,52,23,44.2,21,40.4,528,2585,959,41,30,20,93,35,700,201
Ale,BRA,MF,América (MG),32,1990,15.8,1076,43,256,654,182,30,1076,26,16,61.5,8,30.8,682,3840,1829,29,21,2,25,19,691,37
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,136,3,11,64,64,25,136,19,9,47.4,9,47.4,90,468,207,7,7,5,19,4,100,37
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,115,7,9,44,63,19,115,6,3,50.0,3,50.0,69,212,91,3,3,1,13,3,82,21
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,306,8,47,103,167,34,306,33,16,48.5,17,51.5,172,1373,607,24,20,8,17,17,197,68
Alex,BRA,DF,Santos,23,1999,5.1,291,26,150,126,18,9,291,2,2,100.0,0,0.0,193,1086,622,3,1,0,4,2,212,0
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,2074,42,393,1433,275,25,2074,32,16,50.0,11,34.4,1379,9231,5170,91,41,10,30,35,1522,38
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,1867,102,604,908,364,24,1867,38,19,50.0,17,44.7,868,4249,2300,41,23,5,37,20,955,97
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,910,21,195,457,268,16,910,51,27,52.9,19,37.3,572,2903,1610,37,28,3,27,26,645,53
Alison,BRA,MF,Santos,29,1993,1.5,83,10,28,52,3,0,83,2,1,50.0,1,50.0,38,213,80,3,2,0,4,2,45,1
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,48,0,5,20,26,1,48,7,3,42.9,3,42.9,35,322,161,3,3,0,2,1,34,10
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,1555,36,240,881,448,31,1555,42,23,54.8,14,33.3,921,4631,2328,42,44,5,16,32,1136,104
Allan,BRA,MF,Flamengo,25,1997,5.4,471,7,65,327,83,1,471,4,2,50.0,0,0.0,321,1730,891,12,13,0,3,3,361,6
Allano,BRA,FW,Goiás,27,1995,13.7,626,19,112,294,232,48,626,48,21,43.8,21,43.8,374,2689,1396,39,32,11,36,20,421,90
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,49,1,1,23,25,9,49,5,4,80.0,1,20.0,21,95,40,1,0,0,5,1,26,5
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,135,10,52,77,6,1,135,0,0,,0,,68,335,146,1,0,0,2,2,76,0
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,18,13,18,0,0,0,18,0,0,,0,,12,36,33,0,0,0,0,0,11,0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,647,6,102,292,276,35,647,71,40,56.3,28,39.4,424,2876,1557,44,37,12,39,37,483,105
André,BRA,DF,Bahia,19,2003,1.4,93,4,22,43,30,1,93,5,4,80.0,1,20.0,52,252,129,2,3,0,3,1,53,12
André,BRA,"MF,DF",Fluminense,21,2001,29.4,2745,268,946,1589,231,3,2745,62,38,61.3,16,25.8,1970,9772,5878,58,54,1,34,15,2179,14
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,281,0,41,135,117,10,281,52,28,53.8,21,40.4,193,1615,797,26,18,4,24,14,200,38
Maurício Antônio,BRA,DF,Coritiba,30,1992,2.0,130,29,77,49,4,2,130,0,0,,0,,68,261,125,0,0,0,3,0,73,0
Apodi,BRA,"FW,MF",Goiás,36,1986,4.2,99,8,23,33,43,9,99,4,2,50.0,2,50.0,49,277,147,6,3,2,9,0,57,16
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,1968,83,525,892,565,27,1968,33,12,36.4,16,48.5,1087,5551,3177,59,44,5,25,13,1290,121
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,1074,27,176,708,194,14,1074,10,7,70.0,0,0.0,601,2195,902,7,12,1,20,10,788,28
João Araújo,BRA,MF,Grêmio,17,2005,0.1,8,0,1,5,3,0,8,2,0,0.0,2,100.0,5,14,3,0,0,0,0,0,5,0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,513,12,59,196,271,45,513,48,25,52.1,21,43.8,347,2138,1025,30,23,10,18,10,376,113
Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,6.5,397,12,79,190,134,20,397,16,9,56.3,4,25.0,246,1174,596,18,14,6,14,7,279,43
Michel Araujo,URU,"FW,MF",São Paulo,26,1996,19.6,1253,26,196,617,463,61,1253,113,63,55.8,40,35.4,788,5027,2613,73,52,15,47,34,923,157
Robert Arboleda,ECU,DF,São Paulo,31,1991,19.1,1427,201,787,610,34,27,1427,4,3,75.0,0,0.0,823,3312,1757,2,1,0,6,1,1020,5
Jhon Arias,COL,"FW,MF",Fluminense,25,1997,26.5,1916,41,290,690,966,105,1914,155,80,51.6,50,32.3,1313,8114,4378,142,87,27,54,60,1423,301
Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,2.1,79,2,8,36,36,6,79,3,2,66.7,0,0.0,49,235,99,5,0,1,10,8,59,12
