Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Matheus Mendes,BRA,GK,Mineiro,25-221,1999,11.1,19,1,0,2,0,23.8,0.37,+4.8,+0.43,31,75,41.3,237,50,20.3,26.2,77,35.1,27.1,156,9,5.8,14,1.26,15.8
Carlos Miguel,BRA,GK,,26-008,1998,6.0,7,1,0,0,2,7.1,0.21,+2.1,+0.35,33,66,50.0,139,26,29.5,32.5,46,54.3,43.8,98,4,4.1,6,1.00,13.7
Mycael,BRA,GK,Paranaense,20-219,2004,6.4,6,0,0,0,0,7.3,0.24,+1.3,+0.20,27,79,34.2,123,22,45.5,37.2,42,54.8,44.9,84,1,1.2,2,0.31,9.3
Mateus Pasinato,BRA,GK,,32-111,1992,1.0,0,0,0,0,0,0.5,0.18,+0.5,+0.53,7,15,46.7,15,4,40.0,33.0,11,81.8,51.5,14,0,0.0,0,0.00,4.7
Rafael Pires,BRA,GK,Paulo,35-116,1989,17.0,18,2,0,4,1,14.9,0.25,-2.1,-0.12,63,149,42.3,355,58,29.3,31.6,109,41.3,34.5,175,10,5.7,9,0.53,12.9
Pedro Rangel,BRA,GK,Goianiense,24-110,2000,6.0,12,2,0,3,0,11.7,0.31,-0.3,-0.04,28,75,37.3,151,21,37.1,35.8,43,44.2,40.3,84,6,7.1,7,1.17,15.3
João Ricardo Riedi,BRA,GK,,36-041,1988,29.0,29,3,0,6,0,38.4,0.25,+9.4,+0.32,153,384,39.8,529,110,49.3,39.5,224,54.9,43.3,508,31,6.1,12,0.41,10.3
Sergio Rochet,URU,GK,,31-208,1993,18.0,17,1,0,0,0,17.7,0.26,+0.7,+0.04,74,217,34.1,386,62,43.8,35.8,98,49.0,39.3,219,21,9.6,26,1.44,14.8
Ronaldo,BRA,GK,Goianiense,28-056,1996,23.0,34,3,1,3,2,30.3,0.27,-1.7,-0.07,122,300,40.7,434,69,43.3,37.1,182,61.5,45.9,329,22,6.7,18,0.78,13.9
Agustín Rossi,ARG,GK,,29-057,1995,26.0,29,2,0,7,1,31.8,0.33,+3.8,+0.15,111,272,40.8,792,119,28.4,31.3,143,32.9,32.8,325,34,10.5,15,0.58,12.8
Cleiton Schwengber,BRA,GK,Bull Bragantino,27-059,1997,22.0,28,0,0,3,1,33.9,0.29,+6.9,+0.32,106,311,34.1,578,100,46.4,38.4,150,28.7,32.4,335,21,6.3,41,1.86,16.3
Hugo Souza,BRA,GK,,25-260,1999,13.0,16,4,0,2,0,18.8,0.24,+2.8,+0.22,44,126,34.9,255,61,36.1,33.2,91,37.4,34.2,167,7,4.2,10,0.77,15.0
Walter,BRA,GK,,36-334,1987,27.0,39,5,1,5,0,41.4,0.28,+2.4,+0.09,147,311,47.3,526,107,36.7,34.6,215,54.9,42.4,473,20,4.2,10,0.37,10.4
Wéverton,BRA,GK,,36-309,1987,28.0,18,1,2,0,1,30.3,0.26,+13.3,+0.48,112,377,29.7,710,143,42.0,38.0,183,43.2,40.1,331,31,9.4,22,0.79,14.1
