Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,6,4,2,0,0,0,1,0,0,0,0,0,4,0,0
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,697,681,10,5,1,2,9,1,0,0,0,0,525,6,19
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,873,705,165,12,0,3,56,153,0,0,0,0,651,3,19
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,231,206,23,18,0,0,9,1,4,1,3,0,163,2,3
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,245,202,43,3,0,1,20,40,0,0,0,0,182,0,9
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,15,15,0,0,0,0,0,0,0,0,0,0,12,0,1
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,86,84,2,0,1,0,3,0,0,0,0,0,58,0,0
Brian Agbor,CMR,DF,Gent,22,2001,2.3,143,135,8,4,0,4,0,4,0,0,0,0,123,0,2
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,129,101,28,2,0,0,2,26,0,0,0,0,99,0,2
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,104,94,6,0,1,1,2,5,0,0,0,0,76,4,2
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,8,7,1,0,0,0,1,1,0,0,0,0,6,0,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,2335,2215,112,82,3,25,7,10,0,0,0,0,2010,8,9
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,160,120,40,1,0,0,23,39,0,0,0,0,107,0,7
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,93,69,24,1,0,0,5,23,0,0,0,0,78,0,4
Éder Álvarez Balanta,COL,MF,Club Brugge,30,1993,5.5,292,285,7,5,0,4,2,2,0,0,0,0,226,0,5
Steven Alzate,COL,MF,Standard Liège,24,1998,18.5,1024,966,55,42,7,6,19,6,6,3,3,0,864,3,15
Thierry Ambrose,GLP,FW,Kortrijk,26,1997,0.6,15,15,0,0,0,0,2,0,0,0,0,0,11,0,1
Mohamed Amoura,ALG,FW,Union SG,23,2000,15.9,367,352,12,1,1,2,31,7,1,0,0,0,220,3,27
Francis Amuzu,BEL,FW,Anderlecht,23,1999,6.3,181,169,12,4,0,0,22,5,3,1,0,0,141,0,8
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,25,1997,6.0,290,254,36,3,1,1,11,33,0,0,0,0,250,0,5
Stelios Andreou,CYP,DF,Charleroi,21,2002,26.8,1064,1002,59,20,0,9,6,32,0,0,0,0,842,3,14
Nilson Angulo,ECU,"FW,MF",Anderlecht,20,2003,0.5,36,36,0,0,0,0,3,0,0,0,0,0,24,0,2
Bill Antonio,ZIM,"MF,FW",Mechelen,20,2002,6.4,185,161,24,0,1,0,27,24,0,0,0,0,120,0,13
Kristian Arnstad,NOR,"DF,MF",Anderlecht,19,2003,7.2,398,345,53,8,0,3,11,42,3,2,0,0,308,0,10
Tolu Arokodare,NGA,FW,Genk,22,2000,14.5,294,290,2,0,0,0,2,0,0,0,0,0,200,2,6
Gerardo Arteaga,MEX,DF,Genk,24,1998,13.4,733,616,116,17,0,2,33,99,0,0,0,0,588,1,16
Isaac Asante,GHA,"DF,MF",Mechelen,20,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Dirk Asare,BEL,MF,Mechelen,19,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Majeed Ashimeru,GHA,MF,Anderlecht,25,1997,1.3,60,59,1,0,0,0,0,0,0,0,0,0,48,0,0
Christalino Atemona,GER,DF,Kortrijk,21,2002,1.1,41,41,0,0,0,0,0,0,0,0,0,0,31,0,1
Lynnt Audoor,BEL,MF,Kortrijk,19,2003,4.5,190,182,8,5,0,1,2,1,2,1,1,0,155,0,5
Ludwig Augustinsson,SWE,DF,Anderlecht,29,1994,18.1,1089,911,176,28,0,5,76,137,11,6,1,0,851,2,22
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,19,2004,4.9,95,94,1,0,0,0,8,0,0,0,0,0,50,0,4
Felipe Avenatti,URU,"FW,MF",Kortrijk,30,1993,17.4,607,583,21,2,6,6,3,2,1,0,0,0,382,3,13
Gastón Ávila,ARG,DF,Antwerp,21,2001,2.0,130,114,16,5,0,3,4,11,0,0,0,0,103,0,3
Youssouph Badji,SEN,"FW,MF",Charleroi,21,2001,10.4,285,275,9,0,0,1,4,2,0,0,0,0,194,1,8
Bilal Bafdili,BEL,"MF,FW",Mechelen,18,2004,1.9,51,45,6,1,0,0,6,0,4,2,1,0,38,0,0
Jonas Bager,DEN,DF,Charleroi,27,1996,16.7,609,582,26,18,0,3,6,7,0,0,0,0,466,1,5
Brandon Baiye,BEL,MF,Eupen,22,2000,23.0,890,863,22,22,0,7,5,0,0,0,0,0,735,5,18
Michel-Ange Balikwisha,BEL,"FW,MF",Antwerp,22,2001,19.8,851,734,113,17,2,3,127,17,78,24,22,0,627,4,34
William Balikwisha,COD,MF,Standard Liège,24,1999,12.1,555,543,10,1,3,4,49,0,1,1,0,0,424,2,24
Sacha Banse,BFA,MF,Standard Liège,22,2001,0.5,17,15,2,1,1,1,0,0,0,0,0,0,12,0,1
Ezechiel Banzuzi,NED,MF,OH Leuven,18,2005,19.4,686,673,12,11,2,4,10,1,0,0,0,0,496,1,14
Víctor Barberá,ESP,"FW,MF",Club Brugge,18,2004,0.4,9,9,0,0,0,0,1,0,0,0,0,0,4,0,0
