Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,1625,1499,116,81,2,27,41,33,0,0,0,0,1285,10,8
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,601,454,147,50,0,1,1,0,0,0,0,0,478,0,0
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,694,550,143,17,0,8,55,117,9,9,0,0,516,1,18
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,1129,916,212,53,3,10,174,94,65,36,21,3,840,1,26
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,110,104,6,0,1,0,3,1,0,0,0,0,71,0,3
Alan,BRA,MF,Moreirense,23,2000,27.3,1161,989,164,69,6,5,125,8,83,44,29,0,902,8,27
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,139,132,6,6,0,0,0,0,0,0,0,0,100,1,1
Alemão,BRA,DF,Portimonense,20,2002,26.3,1127,1083,37,36,1,13,0,0,0,0,0,0,912,7,4
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,158,148,8,0,1,3,5,0,0,0,0,0,103,2,9
Almeida,BRA,DF,Estrela,23,2000,5.4,248,236,12,11,0,3,0,1,0,0,0,0,191,0,0
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,933,881,51,33,1,9,2,7,0,0,0,0,804,1,4
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,618,456,161,28,1,6,54,117,16,7,2,0,446,1,15
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,184,176,5,4,0,3,0,1,0,0,0,0,143,3,1
André André,POR,MF,Vitória,33,1989,7.3,377,352,25,21,1,3,4,4,0,0,0,0,329,0,7
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,1130,736,391,88,0,2,0,0,0,0,0,0,814,3,2
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,200,194,6,1,3,1,17,4,1,1,0,0,146,0,6
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,126,112,14,5,2,3,9,2,4,4,0,0,89,0,5
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,234,198,34,17,3,3,28,4,13,10,1,0,175,2,4
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,161,147,13,3,0,0,0,0,0,0,0,0,124,1,3
