Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,1.1,45,39,4,1,0,1,0,3,0,0,0,0,38,2,1
Brenden Aaronson,USA,MF,Union Berlin,22,2000,1.5,40,40,0,0,0,0,0,0,0,0,0,0,29,0,0
Salis Abdul Samed,GHA,MF,Lens,23,2000,5.5,193,187,6,5,2,0,0,1,0,0,0,0,166,0,2
Francesco Acerbi,ITA,DF,Inter,35,1988,4.7,304,288,16,10,0,2,4,1,0,0,0,0,261,0,3
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,6.1,182,172,8,1,0,0,12,2,1,1,0,0,126,2,10
Marcos Acuña,ARG,DF,Sevilla,31,1991,2.2,87,70,15,1,1,2,4,14,0,0,0,0,59,2,2
Karim Adeyemi,GER,FW,Dortmund,21,2002,7.9,200,191,8,2,0,1,14,3,3,0,3,0,149,1,9
Yacine Adli,FRA,MF,Milan,23,2000,1.4,91,78,13,3,1,3,10,3,7,3,4,0,74,0,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.1,43,26,17,0,0,0,1,17,0,0,0,0,33,0,0
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,7.4,652,619,32,19,1,3,2,10,0,0,0,0,618,1,1
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,4.3,422,406,16,9,0,1,3,7,0,0,0,0,406,0,2
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,4.9,141,116,24,9,2,0,23,3,12,7,3,0,92,1,7
David Alaba,AUT,DF,Real Madrid,31,1992,2.8,212,201,11,1,0,1,7,7,3,2,0,0,190,0,2
Luis Alberto,ESP,MF,Lazio,30,1992,7.1,497,431,63,25,1,2,43,0,33,17,12,0,396,3,5
Toby Alderweireld,BEL,DF,Antwerp,34,1989,5.0,319,296,22,20,1,3,1,0,0,0,0,0,263,1,2
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,1.5,31,28,1,0,0,0,4,0,0,0,0,0,22,2,3
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,4.6,156,155,1,0,0,0,5,1,0,0,0,0,117,0,4
Marcos Alonso,ESP,"DF,FW",Barcelona,32,1990,1.5,94,80,13,5,0,1,7,8,0,0,0,0,79,1,1
Barış Alper Yılmaz,TUR,"FW,MF",Galatasaray,23,2000,1.4,39,35,4,0,0,1,1,4,0,0,0,0,31,0,0
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,3.1,184,159,25,4,2,1,20,1,18,6,5,0,157,0,1
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,5.0,214,197,16,12,0,1,1,0,0,0,0,0,172,1,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,3.5,143,136,6,4,0,2,0,1,0,0,0,0,125,1,2
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,3.6,176,166,10,3,0,2,3,7,0,0,0,0,151,0,2
