Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,56,55,1,1,0,0,1,0,0,0,0,0,50,0,1
Abner,BRA,DF,Betis,23,2000,4.4,241,199,41,4,0,2,10,37,0,0,0,0,187,1,6
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,21,18,3,0,0,1,0,0,0,0,0,0,8,0,1
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,185,129,55,7,0,0,0,0,0,0,0,0,152,1,1
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,30,30,0,0,1,0,0,0,0,0,0,0,20,0,1
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,224,168,55,19,0,0,0,0,0,0,0,0,178,1,0
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,44,40,4,0,0,0,0,0,0,0,0,0,39,0,1
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,181,175,6,0,1,1,13,6,0,0,0,0,144,0,6
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,505,485,18,4,1,1,29,10,3,3,0,0,406,2,16
Yacine Adli,FRA,MF,Milan,23,2000,2.5,219,208,11,7,0,1,10,0,4,2,2,0,194,0,0
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,224,210,12,10,0,0,1,0,0,0,0,0,140,2,3
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,331,314,16,13,0,10,1,0,0,0,0,0,278,1,1
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,71,50,21,1,0,1,2,20,0,0,0,0,56,0,2
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,138,125,12,3,2,0,13,7,2,0,1,0,113,1,1
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,52,46,6,0,0,0,1,0,0,0,0,0,41,0,2
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,33,32,1,0,0,1,2,0,0,0,0,0,24,0,0
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,40,40,0,0,0,0,2,0,0,0,0,0,24,0,2
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,107,106,1,1,0,1,0,0,0,0,0,0,94,0,1
