Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Angelo Stiller,GER,MF,Stuttgart,Bundesliga,22,2001,29.9,2637,2448,188,91,12,9,81,8,66,32,15,0,2346,1,19
Kevin Stöger,AUT,MF,Bochum,Bundesliga,29,1993,29.6,2028,1650,362,156,16,12,258,40,110,42,60,1,1363,16,55
Filip Stojilković,SUI,"FW,MF",Darmstadt 98,Bundesliga,23,2000,1.7,21,20,1,0,0,0,3,0,0,0,0,0,10,0,0
John Stones,ENG,"DF,MF",Manchester City,Premier League,29,1994,11.8,839,824,15,9,0,7,5,3,0,0,0,0,781,0,6
Thomas Strakosha,ALB,GK,Brentford,Premier League,28,1995,1.5,71,45,26,11,0,0,0,0,0,0,0,0,52,0,0
Jørgen Strand Larsen,NOR,FW,Celta Vigo,La Liga,23,2000,31.8,618,587,28,0,3,2,18,2,0,0,0,0,423,3,22
Gabriel Strefezza,BRA,FW,Lecce,Serie A,26,1997,12.4,412,352,57,19,3,6,42,10,22,7,2,0,300,3,9
Kevin Strootman,NED,MF,Genoa,Serie A,33,1990,13.4,670,632,37,21,1,1,20,11,5,2,1,0,550,1,9
Cristhian Stuani,URU,FW,Girona,La Liga,36,1986,8.9,115,101,14,1,1,0,1,0,0,0,0,0,84,0,2
Álex Suárez,ESP,DF,Las Palmas,La Liga,30,1993,28.5,1613,1402,209,68,1,5,15,128,0,0,0,0,1396,2,11
Damián Suárez,URU,DF,Getafe,La Liga,35,1988,14.4,638,499,137,20,0,15,49,107,9,1,6,1,436,2,14
Denis Suárez,ESP,"MF,FW",Villarreal,La Liga,29,1994,1.5,94,82,12,9,0,1,4,1,2,2,0,0,79,0,1
Gabriel Suazo,CHI,DF,Toulouse,Ligue 1,25,1997,26.2,1482,1220,258,48,8,8,101,189,21,8,11,0,1163,4,41
Isaac Success,NGA,"FW,MF",Udinese,Serie A,27,1996,9.8,204,201,2,0,3,3,2,0,0,0,0,0,130,1,9
Niklas Süle,GER,DF,Dortmund,Bundesliga,27,1995,16.8,1505,1431,73,48,0,22,2,12,0,0,0,0,1401,1,6
Ibrahim Sulemana,GHA,MF,Cagliari,Serie A,20,2003,14.9,452,446,3,3,0,8,13,0,0,0,0,0,361,3,10
Tomáš Suslov,SVK,"MF,FW",Hellas Verona,Serie A,21,2002,23.2,573,473,97,27,3,15,72,9,29,8,19,0,416,3,23
Suso,ESP,"MF,FW",Sevilla,La Liga,29,1993,16.9,907,797,105,37,2,21,132,14,50,27,17,0,702,5,29
Mattias Svanberg,SWE,MF,Wolfsburg,Bundesliga,24,1999,19.1,807,752,52,26,2,7,55,0,23,19,4,0,574,3,19
Max Svensson,ESP,FW,Osasuna,La Liga,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mile Svilar,SRB,GK,Roma,Serie A,23,1999,15.0,605,492,113,24,0,0,0,0,0,0,0,0,526,0,0
Williot Swedberg,SWE,"FW,MF",Celta Vigo,La Liga,19,2004,4.9,108,102,5,1,0,0,5,0,0,0,0,0,80,1,3
Karol Świderski,POL,"FW,MF",Hellas Verona,Serie A,26,1997,5.6,120,108,9,0,0,0,3,0,1,0,0,0,84,3,8
Abakar Sylla,CIV,DF,Strasbourg,Ligue 1,20,2002,19.9,1266,1186,79,30,0,7,3,17,0,0,0,0,1111,1,5
Dembo Sylla,GUI,DF,Lorient,Ligue 1,20,2002,0.5,22,18,4,0,0,1,4,4,0,0,0,0,19,0,1
Issiaga Sylla,GUI,"DF,FW",Montpellier,Ligue 1,29,1994,16.2,719,564,150,10,0,2,43,140,0,0,0,0,528,5,24
Mamadou Sylla,SEN,"FW,MF",Alavés,La Liga,29,1994,0.2,7,6,1,0,0,0,0,0,0,0,0,0,3,0,0
Attila Szalai,HUN,DF,Hoffenheim,Bundesliga,25,1998,3.2,178,171,6,1,2,3,5,5,0,0,0,0,131,1,2
Attila Szalai,HUN,DF,Freiburg,Bundesliga,25,1998,1.1,72,68,3,0,1,0,0,0,0,0,0,0,58,1,0
Wojciech Szczęsny,POL,GK,Juventus,Serie A,33,1990,35.0,1006,771,231,57,0,5,0,0,0,0,0,0,780,4,0
Dominik Szoboszlai,HUN,MF,Liverpool,Premier League,22,2000,23.4,1550,1376,167,34,3,16,113,31,66,24,28,2,1280,7,24
Przemysław Szymiński,POL,MF,Frosinone,Serie A,29,1994,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Alexander Sørloth,NOR,FW,Villarreal,La Liga,27,1995,27.7,476,448,22,0,2,0,7,1,0,0,0,0,357,6,15
Musa Al-Taamari,JOR,FW,Montpellier,Ligue 1,26,1997,21.4,553,515,35,7,4,3,22,19,3,1,0,0,402,3,34
Nicolás Tagliafico,ARG,DF,Lyon,Ligue 1,30,1992,23.6,1175,1017,153,15,3,0,40,137,1,0,0,0,999,5,21
Jonathan Tah,GER,DF,Leverkusen,Bundesliga,27,1996,29.2,2193,2156,33,26,1,7,3,1,0,0,0,0,2070,4,6
Montassar Talbi,TUN,DF,Lorient,Ligue 1,25,1998,24.5,1188,1147,35,22,0,5,3,5,0,0,0,0,1008,6,6
Yassin Tallal,ESP,FW,Getafe,La Liga,18,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrien Tameze,CMR,"DF,MF",Torino,Serie A,29,1994,23.8,1276,1218,56,39,1,5,15,16,0,0,0,0,1106,2,23
Renato Tapia,PER,"MF,DF",Celta Vigo,La Liga,28,1995,14.9,715,667,44,38,2,10,9,5,0,0,0,0,541,4,15
Edmond Tapsoba,BFA,DF,Leverkusen,Bundesliga,24,1999,23.2,1973,1896,72,40,5,11,5,10,0,0,0,0,1795,5,10
Matt Targett,ENG,DF,Newcastle Utd,Premier League,27,1995,0.9,41,38,3,0,0,0,0,3,0,0,0,0,36,0,1
Oussama Targhalline,MAR,MF,Le Havre,Ligue 1,21,2002,11.4,704,689,13,9,2,2,8,3,1,0,0,0,600,2,15
James Tarkowski,ENG,DF,Everton,Premier League,30,1992,38.0,1550,1485,52,45,1,22,6,6,0,0,0,0,1195,13,10
César Tárrega,ESP,DF,Valencia,La Liga,21,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Jimi Tauriainen,ENG,FW,Chelsea,Premier League,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuno Tavares,POR,DF,Nott'ham Forest,Premier League,23,2000,5.1,274,225,48,8,0,4,16,39,1,0,1,0,201,1,7
